,prices,hometypes,bathrooms,bedrooms,sizes,garage,school_rating,city,ages
173,775000.0,Condo,1.0,0.0,727.0,1.0,4.7, San Francisco,111.0
174,1798000.0,House,1.0,0.0,1650.0,2.0,5.3, San Francisco,72.0
175,1225000.0,Condo,2.0,1.0,1000.0,0.0,3.3, San Francisco,126.0
176,1799000.0,Condo,2.0,2.0,1620.0,1.0,6.0, San Francisco,25.0
177,1499000.0,Condo,2.0,1.0,1131.0,1.0,6.0, San Francisco,25.0
178,2695000.0,Condo,2.0,2.0,1772.0,0.0,3.3, San Francisco,116.0
179,1150000.0,House,2.0,2.0,827.0,2.0,5.0, San Francisco,36.0
180,1695000.0,House,2.0,2.0,1454.0,1.0,1.3, San Francisco,52.0
181,950000.0,Condo,2.0,2.0,920.0,0.0,0.0, San Francisco,92.0
182,1825000.0,Condo,2.0,2.0,1286.0,0.0,3.3, San Francisco,125.0
183,1749000.0,Condo,2.0,2.0,1357.0,1.0,3.3, San Francisco,123.0
184,829500.0,Condo,2.0,2.0,908.0,1.0,3.3, San Francisco,115.0
185,1990000.0,House,2.0,2.0,1900.0,1.0,0.0, San Francisco,19.0
186,998000.0,House,2.0,2.0,1206.0,2.0,0.0, San Francisco,35.0
187,945000.0,House,2.0,2.0,1736.0,1.0,6.3, San Francisco,26.0
188,1659000.0,House,2.0,2.0,1515.0,1.0,3.3, San Francisco,40.0
189,1895000.0,Condo,3.0,2.0,1585.0,0.0,6.3, San Francisco,11.0
190,1498000.0,House,2.0,3.0,1522.0,2.0,6.0, San Francisco,38.0
191,1525000.0,Condo,1.0,2.0,1236.0,1.0,8.0, San Francisco,31.0
192,1228000.0,Condo,3.0,4.0,1763.0,0.0,3.0, San Francisco,18.0
193,825000.0,House,3.0,4.0,875.0,1.0,4.3, San Francisco,36.0
194,2395000.0,Condo,3.0,4.0,1516.0,2.0,3.3, San Francisco,113.0
195,1245000.0,Condo,3.0,4.0,1038.0,1.0,7.0, San Francisco,112.0
196,1498000.0,House,3.0,4.0,1562.0,1.0,0.0, San Francisco,33.0
197,899000.0,Condo,3.0,4.0,1002.0,1.0,5.0, San Francisco,111.0
198,1099000.0,Condo,3.0,4.0,1317.0,1.0,2.7, San Francisco,115.0
199,995000.0,Condo,3.0,4.0,1466.0,1.0,2.7, San Francisco,107.0
200,1399000.0,House,3.0,4.0,1706.0,1.0,4.3, San Francisco,24.0
201,2238000.0,Condo,3.0,4.0,1678.0,1.0,7.0, San Francisco,117.0
202,899000.0,Condo,3.0,4.0,660.0,1.0,6.7, San Francisco,71.0
203,1295000.0,Condo,2.0,3.0,1430.0,0.0,3.3, San Francisco,18.0
204,899000.0,Condo,2.0,1.0,996.0,1.0,3.3, San Francisco,112.0
205,1795000.0,House,1.0,3.0,1424.0,2.0,5.0, San Francisco,53.0
206,1675000.0,House,1.0,2.0,2213.0,1.0,6.3, San Francisco,21.0
207,1695000.0,Condo,2.0,2.0,1220.0,1.0,0.0, San Francisco,18.0
208,575000.0,Condo,1.0,1.0,784.0,0.0,7.7, San Francisco,113.0
209,899000.0,Condo,2.0,2.0,1045.0,1.0,5.0, San Francisco,109.0
210,1275000.0,Condo,2.0,2.0,1220.0,0.0,3.0, San Francisco,11.0
211,2695000.0,House,2.0,2.0,2250.0,0.0,3.0, San Francisco,52.0
212,699000.0,Condo,2.0,2.0,796.0,1.0,8.0, San Francisco,62.0
213,689000.0,Condo,2.0,2.0,675.0,1.0,3.3, San Francisco,121.0
214,1645000.0,Condo,2.0,2.0,1238.0,0.0,3.3, San Francisco,119.0
